PNU,X,Y,LONGITUDE,LATITUDE,ADDRESS,ADDRESS1,NO,LCLSF,CMPTNC_RGN_NM,POLSTN_NM,SE,TELNO,ADDR
1114015100100720001,127.0039318,37.56646006,127.00393178132947,37.56646005571267,서울 중구 을지로 234(을지로5가),서울 중구 을지로5가 72-1,1,서울청,서울중부,을지,지구대,02-2279-1908,서울특별시 중구  을지로 234
1114016200102500010,127.0133852,37.56524261,127.01338521581211,37.56524261338819,서울 중구 퇴계로 375-1(신당동),서울 중구 신당동 250-10,2,서울청,서울중부,광희,지구대,02-2233-1444,서울특별시 중구  퇴계로 375-1
1111018300102730003,126.9655249,37.60481071,126.9655248553255,37.604810647467346,서울 종로구 평창문화로 46(평창동),서울 종로구 평창동 273-3,11,서울청,서울종로,평창,파출소,02-3701-4308,서울특별시 종로구  평창문화로 46
1121510400102310001,127.1033507,37.54441289,127.10335086772008,37.54441301589854,서울 광진구 아차산로 567(광장동),서울 광진구 광장동 231-1,102,서울청,서울광진,광나루,지구대,02-2285-7820,서울특별시 광진구 아차산로 567
5181032021116850010,128.2137346,38.12640907,128.2137337213889,38.12641018196874,강원 인제군 북면 원통로 278 북면파출소,강원 인제군 북면 원통리 1685-10,1041,강원청,인제,북면,파출소,033-461-3112,강원도 인제군 북면 원통로 278 북면파출소
5181034021105900005,128.2076081,38.22166109,128.2076078629923,38.22166086152039,강원 인제군 서화면 천도로81번길 28,강원 인제군 서화면 천도리 590-5,1042,강원청,인제,서화,파출소,033-462-4112,강원도 인제군 서화면 천도로81번길 28
5178025621105630062,127.3134155,38.1484028,127.31341563099498,38.14840252908269,강원 철원군 갈말읍 명성로174번길 51,강원 철원군 갈말읍 신철원리 563-62,1044,강원청,철원,갈말,파출소,033-452-3117,강원도 철원군 갈말읍 명성로174번길 51
5178031022108950004,127.4435012,38.24263156,127.44350078572424,38.24263153765219,강원 철원군 서면 와수로 232 김화파출소,강원 철원군 서면 와수리 895-4,1045,강원청,철원,김화,파출소,033-458-3333,강원도 철원군 서면 와수로 232 김화파출소
5179031024100020053,127.8127996,38.05453348,127.81279742842281,38.05453317502092,강원 화천군 간동면 파로호로 1144 간동파출소,강원 화천군 간동면 오음리 2-53,1046,강원청,화천,간동,파출소,033-442-5112,강원도 화천군 간동면 파로호로 1144 간동파출소
5179033025101470001,127.6554173,38.1570716,127.65541597796533,38.15707132460328,강원 화천군 상서면 다파로 1625 상서파출소,강원 화천군 상서면 파포리 147-1,1047,강원청,화천,상서,파출소,033-441-6112,강원도 화천군 상서면 다파로 1625 상서파출소
5179025022100530044,127.7050902,38.10275592,127.70509036017879,38.102755898350615,강원 화천군 화천읍 중앙로6길 40 하리파출소,강원 화천군 화천읍 하리 53-44,1048,강원청,화천,하리,파출소,033-442-3112,강원도 화천군 화천읍 중앙로6길 40 하리파출소
5179032021104450003,127.6672079,38.05871717,127.66720881201812,38.05871841570963,강원 화천군 하남면 원천새싹길 8 하남파출소,강원 화천군 하남면 원천리 445-3,1049,강원청,화천,하남,파출소,033-441-2112,강원도 화천군 하남면 원천새싹길 8 하남파출소
5179034021103850005,127.5225662,38.07002125,127.52256594164855,38.070021371100665,강원 화천군 사내면 포화로 1156 사내파출소,강원 화천군 사내면 사창리 385-5,1050,강원청,화천,사내,파출소,033-441-4112,강원도 화천군 사내면 포화로 1156 사내파출소
5180025021105370006,127.9860835,38.10530174,127.98608345787534,38.10530049193701,강원 양구군 양구읍 택지길 74-45,강원 양구군 양구읍 상리 537-6,1051,강원청,양구,상리,파출소,033-481-3112,강원도 양구군 양구읍 택지길 74-45
1121510700101220000,127.0713447,37.54657497,127.07134470922854,37.54657505346939,서울 광진구 능동로17길 39(화양동) 화양지구대,서울 광진구 화양동 122,103,서울청,서울광진,화양,지구대,02-2285-7810,서울특별시 광진구  능동로17길 39 화양지구대
5180031524104140012,128.0338978,38.10808544,128.0338977307177,38.10808508175164,강원 양구군 국토정중앙면 삼팔선로 10-3,강원 양구군 국토정중앙면 용하리 414-12,1052,강원청,양구,국토정중앙,파출소,033-482-4113,강원도 양구군 국토정중앙면 삼팔선로 10-3
5180032025105840002,128.0437929,38.20160159,128.04379300239717,38.20160158450304,강원 양구군 동면 금강산로 1685,강원 양구군 동면 임당리 584-2,1053,강원청,양구,동면,파출소,033-482-7112,강원도 양구군 동면 금강산로 1685
5180033024103440003,127.9522515,38.20773257,127.95225148746074,38.207732568259736,강원 양구군 방산면 평화로 5192,강원 양구군 방산면 장평리 344-3,1054,강원청,양구,방산,파출소,033-481-5112,강원도 양구군 방산면 평화로 5192
5180034021101600004,128.1374819,38.28557997,128.13747856007444,38.285579931008925,강원 양구군 해안면 펀치볼로 1313,강원 양구군 해안면 현리 160-4,1055,강원청,양구,해안,파출소,033-481-0712,강원도 양구군 해안면 펀치볼로 1313
4311311400130190000,127.4300987,36.63246431,127.43009877623605,36.63246467428878,충북 청주시 흥덕구 진재로 16(복대동) 복대지구대,충북 청주시 흥덕구 복대동 3019,1056,충북청,청주흥덕,복대,지구대,043-270-3702,충청북도 청주시 흥덕구  진재로 16 복대지구대
4311311700100340001,127.4253789,36.62659833,127.42537869794009,36.626599077529164,충북 청주시 흥덕구 가로수로 1158(강서동),충북 청주시 흥덕구 강서동 34-1,1057,충북청,청주흥덕,강서,지구대,043-270-3703,충청북도 청주시 흥덕구  가로수로 1158
4311311500122960006,127.4563712,36.65803503,127.45637121806146,36.65803503291195,충북 청주시 흥덕구 송절로64번길 13(봉명동),충북 청주시 흥덕구 봉명동 2296-6,1058,충북청,청주흥덕,봉명,지구대,043-270-3705,충청북도 청주시 흥덕구 송절로 64번길 13
